Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX10076845	SRR13687515	2024-03-01 00:24:18	2021-02-11 12:56:21	11968578	1794566627	11968578	149	794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687515/SRR13687515.lite.1	Cell control_30 min_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236086	SAMN17866566	simple	4952	Yarrowia lipolytica	Sample 3							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	31F3030DCC816A70B62692196DBBE4D1	1650BF9B0C141ECAB3B1894396BDADF7		
SRX10076846	SRR13687514	2024-03-01 00:24:18	2021-02-11 12:56:53	15293865	2299482280	15293865	150	956		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687514/SRR13687514.lite.1	Test_30min	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236087	SAMN17866567	simple	4952	Yarrowia lipolytica	Sample 4							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	DD8F7B313F02307E81E4491E308CF259	EA325089AAFD6F1C51EC2C7B726E0937		
SRX10076847	SRR13687516	2024-03-01 00:24:18	2021-02-11 12:56:18	12220037	1832723323	12220037	149	811		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687516/SRR13687516.lite.1	Test_ 30 min_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236088	SAMN17866568	simple	4952	Yarrowia lipolytica	Sample 5							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	E495C3999EC109694E1FCB6D0BF54649	5D43B90C73C55A233848D9FB054CB0AA		
SRX10076848	SRR13687513	2024-03-01 00:24:18	2021-02-11 12:55:56	10828226	1623783596	10828226	149	722		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687513/SRR13687513.lite.1	Test_30 min_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236089	SAMN17866569	simple	4952	Yarrowia lipolytica	Sample 6							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	CB0842DF1CF92832954C47660298D6EC	BF53A7F28DFBCFB3816F3A6787A575C9		
SRX10076849	SRR13687512	2024-03-01 00:24:18	2021-02-11 13:00:10	17530636	2636899819	17530636	150	1081		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687512/SRR13687512.lite.1	CellControl_30min	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236090	SAMN17866564	simple	4952	Yarrowia lipolytica	Sample 1							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	4F830BE37D7D5873C76F2617692893E8	C4A428AF6B0EED1317DC95166C372FA2		
SRX10076850	SRR13687511	2024-03-01 00:24:18	2021-02-11 12:54:40	9419185	1411019256	9419185	149	636		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13687/SRR13687511/SRR13687511.lite.1	Cell control_30 min_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP305859	PRJNA701430		701430	SRS8236091	SAMN17866565	simple	4952	Yarrowia lipolytica	Sample 2							no					SAVITRIBAI PHULE PUNE UNIVERSITY	SRA1194900		public	0B8676AC91FA66E5187EA82A94685BC9	5CFDB9002810F64DA01E792B99822FC9		
SRX11005424	SRR14666846	2023-06-01 00:00:28	2021-05-27 16:27:45	32544000	9763200000	32544000	300	2905		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14666/SRR14666846/SRR14666846.lite.1	W29_control	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP321453	PRJNA732644		732644	SRS9079447	SAMN19329872	simple	4952	Yarrowia lipolytica	yl-RNA_seq							no					SHANDONG UNIVERSITY	SRA1237782		public	9ED7ECCF5A9275CAC16C2319EAF8A771	25ECA2E680A032C6A62EE81A76F2F332		
SRX11076245	SRR14741672	2024-04-26 09:42:33	2021-06-06 03:15:44	24399294	7368586788	24399294	302	2135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741672/SRR14741672.lite.1	Y_V_36 h_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142290	SAMN19581939	simple	4952	Yarrowia lipolytica	Y_V_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	EF48585B0E054517172482F7BE256FB6	194461D3F90E2EFD53C2ADCD8EE8DFE3		
SRX11076246	SRR14741671	2024-04-26 09:42:33	2021-06-06 02:46:15	26408056	7975232912	26408056	302	2320		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741671/SRR14741671.lite.1	Y_V_36 h_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142290	SAMN19581939	simple	4952	Yarrowia lipolytica	Y_V_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	3FAB62AF16E58701506614E685C68043	7E2077C14AF05330025E4AB8974C6B70		
SRX11076247	SRR14741670	2024-04-26 09:42:33	2021-06-06 02:46:00	26176139	7905193978	26176139	302	2304		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741670/SRR14741670.lite.1	Y_V_36 h_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142290	SAMN19581939	simple	4952	Yarrowia lipolytica	Y_V_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	85187699DF9E63EE092134783F49C9B9	66A64C478730419E2AE7E0D30CD3F350		
